Name,Franchise_Name,Is_Franchise,Platform,Year,Release_Month,Genre,Publisher,Developer,Rating,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Senran Kagura: Estival Versus,Senran Kagura,1,PS4,2015.0,3.0,Action,Marvelous Interactive,Marvelous Inc.,M,0.08,0.0,0.08,0.02,0.18,67.0,25.0,8,96.0
Ball Breakers,Ball Breakers,0,PS,2000.0,7.0,Action,Take-Two Interactive,Lost Toys,E,0.1,0.07,0.0,0.01,0.18,68.0,10.0,5.3,4.0
Mobile Suit Gundam Seed Destiny: Generation of C.E.,Mobile Suit Gundam Seed Destiny,1,PS2,2005.0,8.0,Action,Namco Bandai Games,,,0.0,0.0,0.18,0.0,0.18,,,,
Splatterhouse,Splatterhouse,1,X360,2010.0,11.0,Action,Namco Bandai Games,"Namco Bandai Games America, Namco Bandai Games",M,0.14,0.03,0.0,0.01,0.18,62.0,51.0,7.6,60.0
EyeToy: Groove,EyeToy,1,PS2,2003.0,4.0,Misc,Sony Computer Entertainment,SCEE,E,0.09,0.07,0.0,0.02,0.18,73.0,34.0,8,5.0
You Don't Know Jack,You Don't Know Jack,1,PS3,2011.0,2.0,Misc,THQ,"Jellyvision, Iron Galaxy Studios",T,0.16,0.0,0.0,0.01,0.18,82.0,11.0,7.3,18.0
Chuck E. Cheese's Party Games,Chuck E. Cheese's Party Games,1,DS,2010.0,7.0,Misc,UFO Interactive,UFO Interactive,E,0.17,0.0,0.0,0.01,0.18,,,tbd,
Twisted Metal: Small Brawl,Twisted Metal,1,PS,,11.0,Action,Unknown,Incognito Inc.,T,0.1,0.07,0.0,0.01,0.18,51.0,14.0,7.6,49.0
Otomedius Excellent,Otomedius Excellent,0,X360,,11.0,Shooter,Unknown,Konami,T,0.13,0.0,0.04,0.01,0.18,48.0,8.0,8.1,16.0
Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,1,GC,2005.0,7.0,Adventure,Global Star,"High Voltage Software, Backbone Entertainment",E,0.14,0.04,0.0,0.0,0.18,39.0,16.0,3.2,6.0
Armored Core: Last Raven,Armored Core,1,PS2,2005.0,6.0,Simulation,505 Games,From Software,T,0.05,0.04,0.08,0.01,0.18,59.0,16.0,8.9,14.0
Burnout Legends,Burnout Legends,1,DS,2005.0,11.0,Racing,Electronic Arts,Visual Impact,E,0.15,0.02,0.0,0.01,0.18,38.0,12.0,6,59.0
Tomb Raider: Underworld,Tomb Raider,1,PS2,2009.0,3.0,Action,Eidos Interactive,Crystal Dynamics,T,0.09,0.04,0.0,0.05,0.18,,,5.8,30.0
College Hoops 2K7,College Hoops 2K7,1,PS3,2007.0,3.0,Sports,Take-Two Interactive,2K Sports,E,0.16,0.0,0.0,0.01,0.18,81.0,9.0,7.1,8.0
Hello Kitty: Birthday Adventures,Hello Kitty,1,DS,2010.0,2.0,Adventure,Namco Bandai Games,OneNine Studios,E,0.06,0.1,0.0,0.02,0.18,,,tbd,
All Grown Up! Express Yourself,All Grown Up! Express Yourself,0,GBA,2004.0,10.0,Misc,THQ,,,0.13,0.05,0.0,0.0,0.18,,,,
Escape The Museum,Escape The Museum,1,DS,2010.0,1.0,Adventure,Astragon,Gogii Games,E,0.04,0.12,0.0,0.02,0.18,,,tbd,
K-1 World Grand Prix,K-1 World Grand Prix,0,PS2,2002.0,7.0,Sports,Konami Digital Entertainment,Konami,T,0.04,0.03,0.1,0.01,0.18,67.0,24.0,9,7.0
Kidou Senshi Gundam: Senjou no Kizuna Portable,Kidou Senshi Gundam,1,PSP,2009.0,3.0,Strategy,Namco Bandai Games,,,0.0,0.0,0.18,0.0,0.18,,,,
Super Robot Taisen A Portable,Super Robot Taisen A Portable,0,PSP,2008.0,6.0,Strategy,Namco Bandai Games,,,0.0,0.0,0.18,0.0,0.18,,,,
Juiced,Juiced,1,XB,2005.0,6.0,Racing,THQ,Juice Games,T,0.13,0.04,0.0,0.01,0.18,68.0,39.0,9.1,15.0
Naruto Shippuden: Dragon Blade Chronicles,Naruto Shippuden,1,Wii,2009.0,11.0,Action,505 Games,"Eighting, Takara Tomy",E10+,0.11,0.01,0.05,0.01,0.18,38.0,14.0,3,12.0
Looney Tunes: Back in Action,Looney Tunes,1,GBA,2003.0,11.0,Platform,Electronic Arts,Warthog,E,0.13,0.05,0.0,0.0,0.18,47.0,7.0,tbd,
Shaun White Skateboarding,Shaun White Skateboarding,1,Wii,2010.0,10.0,Sports,Ubisoft,Ubisoft Montreal,E10+,0.13,0.03,0.0,0.01,0.18,59.0,6.0,tbd,
DiRT Showdown,DiRT Showdown,1,PS3,2012.0,6.0,Racing,Codemasters,Codemasters,E10+,0.02,0.12,0.0,0.03,0.18,75.0,27.0,6.3,43.0
Virtua Tennis,Virtua Tennis,1,GBA,2002.0,10.0,Sports,Atari,Altron,E,0.13,0.05,0.0,0.0,0.18,83.0,14.0,tbd,
Cabela's Big Game Hunter: Hunting Party,Cabela's Big Game Hunter,1,X360,2011.0,11.0,Sports,Activision,,,0.16,0.0,0.0,0.02,0.18,,,5,4.0
Tales of the Tempest,Tales of the Tempest,0,DS,2006.0,10.0,Role-Playing,Namco Bandai Games,,,0.0,0.0,0.18,0.0,0.18,,,,
SimCity Creator (JP sales),SimCity Creator (JP sales),0,DS,2008.0,3.0,Simulation,Electronic Arts,,,0.0,0.0,0.18,0.0,0.18,,,,
Biohazard: Revival Selection,Biohazard,1,PS3,2011.0,9.0,Action,Capcom,,,0.0,0.0,0.18,0.0,0.18,,,,
Sonic Riders: Zero Gravity,Sonic Riders,1,PS2,2008.0,1.0,Racing,Sega,Sonic Team,E,0.09,0.07,0.0,0.02,0.18,56.0,16.0,8.3,27.0
UFC: Sudden Impact,UFC,1,PS2,2004.0,4.0,Fighting,Global Star,Opus,T,0.09,0.07,0.0,0.02,0.18,54.0,29.0,7.7,7.0
NBA Hoopz,NBA Hoopz,1,PS2,2001.0,2.0,Sports,Midway Games,Eurocom Entertainment Software,E,0.09,0.07,0.0,0.02,0.18,63.0,10.0,tbd,
ESPN X Games Skateboarding,ESPN X Games Skateboarding,1,GBA,2001.0,9.0,Sports,Konami Digital Entertainment,Konami Computer Entertainment Hawaii,E,0.13,0.05,0.0,0.0,0.18,,,tbd,
Nancy Drew: The Hidden Staircase,Nancy Drew,1,DS,2008.0,9.0,Adventure,THQ,Gorilla Systems,E,0.16,0.0,0.0,0.01,0.18,,,6,6.0
Speedball 2100,Speedball 2100,0,PS,2000.0,10.0,Sports,Empire Interactive,Bitmap Brothers,E,0.1,0.07,0.0,0.01,0.18,60.0,5.0,tbd,
Full Auto 2: Battlelines,Full Auto,1,PS3,2006.0,12.0,Racing,Sega,Pseudo Interactive,T,0.14,0.02,0.0,0.02,0.18,67.0,43.0,7.6,25.0
College Hoops 2K8,College Hoops 2K8,1,X360,2007.0,11.0,Sports,Take-Two Interactive,Visual Concepts,E,0.16,0.0,0.0,0.01,0.18,81.0,21.0,6.9,16.0
LEGO Island 2: The Brickster's Revenge,LEGO Island,0,PS,2001.0,3.0,Adventure,LEGO Media,,,0.1,0.07,0.0,0.01,0.18,,,,
How to Train Your Dragon,How to Train Your Dragon,1,PS3,2010.0,3.0,Action,Activision,Etranges Libellules,E10+,0.12,0.03,0.0,0.02,0.18,51.0,18.0,7,6.0
Backyard Basketball,Backyard Basketball,0,GBA,2004.0,9.0,Sports,Atari,Mistic Software,E,0.13,0.05,0.0,0.0,0.18,,,tbd,
Madden NFL 09,Madden NFL,1,XB,2008.0,8.0,Sports,Electronic Arts,EA Tiburon,E,0.13,0.04,0.0,0.01,0.18,,,5.5,6.0
Dynasty Warriors: Gundam 3,Dynasty Warriors,1,X360,2010.0,6.0,Action,Tecmo Koei,Koei Tecmo Games,T,0.11,0.03,0.02,0.01,0.18,65.0,27.0,7.8,20.0
Scooby-Doo! Unmasked,Scooby-Doo! Unmasked,1,GBA,2005.0,9.0,Platform,THQ,,,0.13,0.05,0.0,0.0,0.18,,,,
Summon Night 4,Summon Night,1,PS2,2006.0,11.0,Role-Playing,Banpresto,,,0.0,0.0,0.18,0.0,0.18,,,,
NHL 2004,NHL 2004,1,XB,2003.0,9.0,Sports,Electronic Arts,EA Black Box,E,0.13,0.04,0.0,0.01,0.18,85.0,21.0,6.5,31.0
Pro Yaky? Spirits 5,Pro Yaky? Spirits,1,PS2,2008.0,,Sports,Konami Digital Entertainment,,,0.0,0.0,0.18,0.0,0.18,,,,
Back to the Future: The Game,Back to the Future,1,PS4,2015.0,10.0,Adventure,Telltale Games,Telltale Games,T,0.1,0.05,0.0,0.03,0.18,,,7.1,18.0
Namco Museum: 50th Anniversary,Namco Museum,1,XB,2005.0,8.0,Misc,Namco Bandai Games,Backbone Vancouver,E10+,0.13,0.04,0.0,0.01,0.18,62.0,23.0,tbd,
Monster 4x4: Stunt Racer,Monster 4x4,1,Wii,2009.0,10.0,Racing,Ubisoft,Ubisoft,E,0.16,0.0,0.0,0.01,0.18,,,5.2,9.0
Velvet Assassin,Velvet Assassin,0,X360,2009.0,4.0,Shooter,DTP Entertainment,"Replay Studios, ML Enterprises",M,0.14,0.02,0.01,0.01,0.18,56.0,46.0,7.1,55.0
NFL 2K2,NFL 2K2,1,XB,2002.0,1.0,Sports,Sega,Visual Concepts,E,0.13,0.04,0.0,0.01,0.18,87.0,18.0,tbd,
MindJack,MindJack,1,PS3,2011.0,1.0,Shooter,Square Enix,FeelPlus,M,0.07,0.07,0.0,0.03,0.18,44.0,31.0,1.7,46.0
Marvel Super Hero Squad: Comic Combat,Marvel Super Hero Squad,1,X360,2011.0,11.0,Action,THQ,THQ,E10+,0.13,0.04,0.0,0.01,0.18,,,tbd,
NBA Starting Five,NBA Starting Five,1,PS2,,10.0,Sports,Unknown,Konami,E,0.09,0.07,0.0,0.02,0.18,53.0,10.0,7.3,7.0
NBA Live 16,NBA Live,1,PS4,2015.0,9.0,Sports,Electronic Arts,EA Sports,E,0.1,0.04,0.0,0.03,0.18,59.0,27.0,6.1,70.0
WWE SmackDown vs. Raw 2009,WWE SmackDown vs. Raw 2009,1,DS,2008.0,11.0,Fighting,THQ,TOSE,T,0.14,0.02,0.0,0.01,0.18,58.0,15.0,7.8,6.0
Dead or Alive Paradise,Dead or Alive Paradise,0,PSP,2010.0,3.0,Misc,Ubisoft Annecy,"Team Ninja, Tecmo",M,0.07,0.02,0.07,0.02,0.18,38.0,34.0,5.6,37.0
Dark Souls II,Dark Souls,1,PC,2014.0,4.0,Role-Playing,Namco Bandai Games,From Software,T,0.08,0.08,0.0,0.01,0.17,91.0,36.0,7.1,2318.0
The Suffering: Ties That Bind,The Suffering,1,PS2,2005.0,9.0,Action,Midway Games,Surreal Software,M,0.09,0.07,0.0,0.02,0.17,75.0,37.0,8,23.0
EyeToy: Kinetic,EyeToy,1,PS2,2005.0,11.0,Sports,Sony Computer Entertainment,SCEE London Studio,E,0.09,0.07,0.0,0.02,0.17,78.0,32.0,8.3,11.0
Transformers: Prime,Transformers,1,3DS,2012.0,10.0,Action,Activision,,,0.13,0.02,0.0,0.02,0.17,,,,
Fancy Nancy: Tea Party Time!,Fancy Nancy,0,DS,2010.0,9.0,Adventure,THQ,Webfoot Technologies,E,0.16,0.0,0.0,0.01,0.17,,,tbd,
Project Spark,Project Spark,0,XOne,2014.0,10.0,Misc,Microsoft Game Studios,Microsoft Game Studios,E10+,0.11,0.05,0.0,0.02,0.17,73.0,26.0,7,151.0
Army Men: Sarge's Heroes 2,Army Men,1,PS2,2001.0,3.0,Shooter,Midas Interactive Entertainment,3DO,T,0.09,0.07,0.0,0.02,0.17,54.0,15.0,4.6,5.0
Yakuza Zero: The Place of Oath,Yakuza Zero,1,PS4,2015.0,,Action,Sega,,,0.0,0.0,0.17,0.0,0.17,,,,
The Wild Thornberrys: Animal Adventures,The Wild Thornberrys,1,PS,2000.0,11.0,Adventure,Mattel Interactive,,,0.1,0.07,0.0,0.01,0.17,,,,
Cabela's Adventure Camp,Cabela's Adventure Camp,1,Wii,2011.0,11.0,Misc,Activision,Cauldron Ltd.,E,0.14,0.02,0.0,0.02,0.17,,,tbd,
SEGA Bass Fishing Duel,SEGA Bass Fishing Duel,0,PS2,2002.0,9.0,Sports,Sega,Wow Entertainment,E,0.09,0.07,0.0,0.02,0.17,68.0,13.0,tbd,
Teen Titans,Teen Titans,1,GBA,,10.0,Action,Unknown,Artificial Mind and Movement,E10+,0.13,0.05,0.0,0.0,0.17,61.0,9.0,tbd,
Sports Illustrated for Kids: Baseball,Sports Illustrated for Kids,1,GBA,2001.0,9.0,Sports,BAM! Entertainment,Sennari Interactive,E,0.12,0.05,0.0,0.0,0.17,39.0,4.0,tbd,
Mark Davis Pro Bass Challenge,Mark Davis Pro Bass Challenge,0,PS2,2002.0,8.0,Sports,Natsume,Sims,E,0.09,0.07,0.0,0.02,0.17,,,tbd,
Rugrats: Royal Ransom,Rugrats,1,GC,2002.0,11.0,Platform,THQ,Avalanche Software,E,0.13,0.03,0.0,0.0,0.17,,,6.7,6.0
Winning Eleven: Pro Evolution Soccer 2007,Winning Eleven,1,DS,2006.0,2.0,Sports,Konami Digital Entertainment,KCET,E,0.0,0.0,0.17,0.0,0.17,63.0,5.0,7.9,12.0
Warriors of Might and Magic,Warriors of Might and Magic,1,PS2,2001.0,3.0,Adventure,3DO,3DO,T,0.09,0.07,0.0,0.02,0.17,49.0,12.0,4.5,6.0
Rapala Fishing Frenzy 2009,Rapala Fishing Frenzy 2009,1,PS3,2008.0,9.0,Sports,Activision,FUN Labs,E,0.16,0.0,0.0,0.01,0.17,31.0,4.0,4.4,9.0
Petz: Horseshoe Ranch,Petz,1,DS,2009.0,2.0,Adventure,Ubisoft,,,0.16,0.0,0.0,0.01,0.17,,,tbd,
Open Season,Open Season,1,GC,2006.0,9.0,Platform,Ubisoft,Ubisoft,E10+,0.13,0.03,0.0,0.0,0.17,59.0,6.0,tbd,
Ridge Racer,Ridge Racer,1,PSV,2011.0,3.0,Racing,Namco Bandai Games,"Namco Bandai Games, Cellius",E10+,0.03,0.07,0.05,0.02,0.17,44.0,39.0,3.7,59.0
EyePet & Friends,EyePet & Friends,0,PS3,2011.0,11.0,Simulation,Sony Computer Entertainment,,,0.06,0.08,0.0,0.03,0.17,,,,
Street Fighter: The Movie,Street Fighter,1,PS,1995.0,8.0,Fighting,Acclaim Entertainment,,,0.1,0.07,0.0,0.01,0.17,,,,
Major League Baseball 2K9,Major League Baseball 2K9,1,PS3,2009.0,3.0,Sports,Spike,2K Sports,E,0.16,0.0,0.0,0.01,0.17,61.0,19.0,4,6.0
World Championship Poker,World Championship Poker,1,GBA,2004.0,11.0,Misc,Crave Entertainment,Sensory Sweep,E,0.12,0.05,0.0,0.0,0.17,66.0,5.0,tbd,
Global Defence Force,Global Defence Force,0,PS2,2005.0,6.0,Shooter,Essential Games,,,0.0,0.0,0.17,0.0,0.17,,,,
Major League Baseball 2K6,Major League Baseball 2K6,1,GC,2006.0,6.0,Sports,Take-Two Interactive,Kush Games,E,0.13,0.03,0.0,0.0,0.17,66.0,8.0,tbd,
WordJong Party,WordJong Party,0,Wii,2008.0,12.0,Puzzle,Destineer,Magellan Interactive,E,0.16,0.0,0.0,0.01,0.17,,,tbd,
SaGa 2: Hihou Densetsu - Goddess of Destiny,SaGa,1,DS,2009.0,9.0,Role-Playing,Square Enix,,,0.0,0.0,0.17,0.0,0.17,,,,
Smash Court Tennis Pro Tournament,Smash Court Tennis Pro Tournament,1,PS2,2002.0,3.0,Sports,Sony Computer Entertainment,Namco,E,0.08,0.07,0.0,0.02,0.17,73.0,15.0,7.4,10.0
Super Robot Taisen L,Super Robot Taisen L,0,DS,2010.0,11.0,Strategy,Namco Bandai Games,,,0.0,0.0,0.17,0.0,0.17,,,,
Race Pro,Race Pro,0,X360,2009.0,2.0,Racing,Atari,SimBin,E,0.06,0.09,0.0,0.02,0.17,72.0,54.0,7,60.0
The Grim Adventures of Billy & Mandy,The Grim Adventures of Billy & Mandy,1,GC,2006.0,9.0,Action,Midway Games,,,0.13,0.03,0.0,0.0,0.17,,,,
NBA Inside Drive 2004,NBA Inside Drive 2004,0,XB,2003.0,11.0,Sports,Microsoft Game Studios,High Voltage Software,E,0.13,0.04,0.0,0.01,0.17,71.0,31.0,8.2,11.0
The King of Fighters '97,The King of Fighters '97,1,PS,1998.0,5.0,Fighting,SNK,,,0.0,0.0,0.16,0.01,0.17,,,,
Time Commando,Time Commando,0,PS,1996.0,9.0,Action,Adeline Software,,,0.1,0.07,0.0,0.01,0.17,,,,
Professional Fisherman's Tour: Northern Hemisphere,Professional Fisherman's Tour,0,DS,2007.0,8.0,Sports,505 Games,Starfish,E,0.16,0.0,0.0,0.01,0.17,,,tbd,
Kekkaishi: Karasumori Ayakashi Kidan,Kekkaishi,1,DS,2007.0,5.0,Action,Namco Bandai Games,,,0.0,0.0,0.17,0.0,0.17,,,,
Gretzky NHL 2005,Gretzky NHL 2005,0,PS2,2004.0,11.0,Sports,Sony Computer Entertainment,Page 44 Studios,E,0.08,0.07,0.0,0.02,0.17,66.0,24.0,9.1,14.0
Dungeon Siege III,Dungeon Siege,1,PC,2011.0,6.0,Role-Playing,Square Enix,Obsidian Entertainment,T,0.08,0.08,0.0,0.02,0.17,72.0,37.0,4.7,399.0
The Hobbit,The Hobbit,1,GC,2003.0,11.0,Platform,Vivendi Games,Inevitable Entertainment,E,0.13,0.03,0.0,0.0,0.17,61.0,17.0,7.3,8.0
MotoGP 15,MotoGP,1,PS4,2015.0,6.0,Racing,Milestone S.r.l.,Milestone S.r.l,,0.0,0.12,0.03,0.02,0.17,66.0,15.0,,
Backyard Sports Football: Rookie Rush,Backyard Sports Football,1,DS,2010.0,10.0,Sports,Atari,,,0.16,0.0,0.0,0.01,0.17,,,,
Skate it,Skate it,1,DS,2008.0,11.0,Sports,Electronic Arts,Exient Entertainment,E,0.14,0.02,0.0,0.01,0.17,72.0,13.0,7.8,12.0
Cabela's Legendary Adventures,Cabela's Legendary Adventures,1,Wii,2008.0,9.0,Sports,Activision,FUN Labs,T,0.16,0.0,0.0,0.01,0.17,,,tbd,
True Crime: New York City,True Crime,1,GC,2005.0,11.0,Action,Activision,Exakt,M,0.13,0.03,0.0,0.0,0.17,59.0,25.0,8.8,24.0
Metal Arms: Glitch in the System,Metal Arms,1,XB,2003.0,11.0,Shooter,Vivendi Games,Swingin' Ape,T,0.13,0.04,0.0,0.01,0.17,82.0,35.0,8.7,15.0
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,The Idolm@ster,1,PSP,2012.0,10.0,Action,Namco Bandai Games,,,0.0,0.0,0.17,0.0,0.17,,,,
Toukiden Kiwami,Toukiden Kiwami,1,PS4,2015.0,4.0,Action,Tecmo Koei,Koei Tecmo Games,T,0.05,0.07,0.02,0.02,0.17,74.0,35.0,7.6,74.0
Trauma Team,Trauma Team,0,Wii,,5.0,Simulation,Unknown,Atlus,T,0.14,0.0,0.02,0.01,0.17,82.0,29.0,8.8,25.0
The Secret World,The Secret World,0,PC,2012.0,7.0,Role-Playing,Funcom,Funcom,M,0.07,0.08,0.0,0.02,0.17,74.0,55.0,8.2,1326.0
Ice Age: Dawn of the Dinosaurs,Ice Age,1,PS2,2009.0,6.0,Action,Activision,Activision,E10+,0.08,0.07,0.0,0.02,0.17,,,tbd,
ESPN Final Round Golf 2002,ESPN Final Round Golf 2002,0,GBA,2001.0,8.0,Sports,Konami Digital Entertainment,Konami Computer Entertainment Nagoya,E,0.12,0.05,0.0,0.0,0.17,70.0,10.0,tbd,
Iron Chef America: Supreme Cuisine,Iron Chef America,1,Wii,2008.0,11.0,Simulation,Destineer,Black Lantern Studios,E10+,0.16,0.0,0.0,0.01,0.17,42.0,4.0,tbd,
MDK2 Armageddon,MDK2 Armageddon,0,PS2,2001.0,3.0,Shooter,Virgin Interactive,BioWare,T,0.08,0.07,0.0,0.02,0.17,80.0,19.0,8.3,11.0
Exhibition Volume 02,Exhibition Volume,1,XB,2003.0,3.0,Misc,Microsoft Game Studios,,,0.13,0.04,0.0,0.01,0.17,,,,
NHL 2K9,NHL 2K9,1,X360,2008.0,9.0,Sports,Take-Two Interactive,Visual Concepts,E10+,0.15,0.01,0.0,0.01,0.17,69.0,33.0,6.7,7.0
I Spy: Castle,I Spy,1,DS,2011.0,10.0,Puzzle,Scholastic Inc.,Gusto Games,E,0.16,0.0,0.0,0.01,0.17,,,tbd,
Fight Night Round 2,Fight Night Round,1,GC,2005.0,2.0,Fighting,Electronic Arts,EA Sports,T,0.13,0.03,0.0,0.0,0.17,87.0,32.0,7.9,7.0
Backbreaker,Backbreaker,1,PS3,,6.0,Sports,Unknown,NaturalMotion,E,0.16,0.0,0.0,0.01,0.17,58.0,25.0,7,52.0
Disney's Atlantis: The Lost Empire,Disney's Atlantis,1,PS,2001.0,6.0,Platform,Sony Computer Entertainment,Eurocom Entertainment Software,E,0.1,0.07,0.0,0.01,0.17,73.0,7.0,8.5,6.0
Power Pro Kun Pocket,Power Pro Kun Pocket,1,GB,1999.0,4.0,Sports,Konami Digital Entertainment,,,0.0,0.0,0.17,0.0,0.17,,,,
The King of Fighters '97,The King of Fighters '97,1,SAT,1998.0,3.0,Fighting,SNK,,,0.0,0.0,0.17,0.0,0.17,,,,
Tamagotchi no Narikiri Challenge,Tamagotchi no Narikiri Challenge,0,DS,2010.0,11.0,Action,Namco Bandai Games,,,0.0,0.0,0.17,0.0,0.17,,,,
Madden NFL 17,Madden NFL,1,X360,2016.0,8.0,Sports,Electronic Arts,EA Sports,E,0.14,0.02,0.0,0.02,0.17,,,0.7,6.0
Jewel Match,Jewel Match,1,DS,2010.0,6.0,Puzzle,PlayV,Joindots,E,0.05,0.11,0.0,0.02,0.17,,,tbd,
Space Battleship Yamato: Harukanaru Hoshi Iscandar,Space Battleship Yamato,0,PS,1999.0,2.0,Strategy,Namco Bandai Games,,,0.0,0.0,0.16,0.01,0.17,,,,
Lost in Blue 3,Lost in Blue,1,DS,2007.0,3.0,Adventure,Konami Digital Entertainment,Matrix Software,E10+,0.09,0.02,0.06,0.01,0.17,59.0,19.0,tbd,
Sound Novel Evolution 1: Otogirisou Sosei-Hen,Sound Novel Evolution,0,PS,1999.0,3.0,Adventure,ChunSoft,,,0.0,0.0,0.16,0.01,0.17,,,,
Stormrise,Stormrise,1,PS3,2009.0,3.0,Strategy,Sega,Creative Assembly,M,0.13,0.02,0.0,0.02,0.17,51.0,28.0,5.3,20.0
Psi-Ops: The Mindgate Conspiracy,Psi-Ops,1,XB,2004.0,6.0,Shooter,Midway Games,Midway,M,0.13,0.04,0.0,0.01,0.17,84.0,55.0,7.9,18.0
X-Men: The Official Game,X-Men,1,X360,2006.0,5.0,Action,Activision,"Z-Axis, Ltd.",T,0.16,0.0,0.0,0.01,0.17,52.0,57.0,6.1,20.0
SWAT: Global Strike Team,SWAT,1,XB,2003.0,10.0,Shooter,Vivendi Games,Argonaut Games,M,0.13,0.04,0.0,0.01,0.17,69.0,22.0,6.3,7.0
Horrid Henry: Missions of Mischief,Horrid Henry,1,DS,2010.0,8.0,Adventure,SouthPeak Games,Asylum Entertainment,E,0.01,0.14,0.0,0.02,0.17,,,,
Cabela's Legendary Adventures,Cabela's Legendary Adventures,1,PSP,2008.0,9.0,Sports,Activision,FUN Labs,T,0.16,0.0,0.0,0.02,0.17,,,tbd,
Pictionary,Pictionary,1,DS,2010.0,11.0,Puzzle,THQ,ImaginEngine,E,0.09,0.06,0.0,0.02,0.17,,,tbd,
Hitman: HD Trilogy,Hitman,1,X360,2013.0,1.0,Action,Square Enix,Io Interactive,M,0.07,0.08,0.0,0.02,0.17,69.0,14.0,7.2,45.0
MX World Tour Featuring Jamie Little,MX World Tour Featuring Jamie Little,1,PS2,2005.0,4.0,Racing,Play It,Impulse Games,E,0.08,0.07,0.0,0.02,0.17,52.0,4.0,tbd,
Goblin Commander: Unleash the Horde,Goblin Commander,1,PS2,2003.0,11.0,Strategy,Jaleco,Jaleco Entertainment,T,0.08,0.07,0.0,0.02,0.17,68.0,21.0,8.7,14.0
uDraw Studio: Instant Artist,uDraw Studio,1,Wii,2011.0,11.0,Misc,THQ,THQ,E,0.06,0.09,0.0,0.02,0.17,,,tbd,
Hello Kitty: Happy Party Pals,Hello Kitty,1,GBA,2005.0,10.0,Misc,THQ,,,0.12,0.05,0.0,0.0,0.17,,,,
Jikkyou Powerful Pro Baseball 2016,Jikkyou Powerful Pro Baseball 2016,1,PS4,2016.0,4.0,Sports,Konami Digital Entertainment,,,0.0,0.0,0.17,0.0,0.17,,,,
Backyard NFL Football '09,Backyard NFL Football '09,1,PS2,2008.0,10.0,Sports,Atari,,,0.08,0.07,0.0,0.02,0.17,,,,
World Destruction League: Thunder Tanks,World Destruction League,1,PS2,2000.0,12.0,Action,3DO,3DO,T,0.08,0.07,0.0,0.02,0.17,65.0,16.0,5.9,7.0
Tom Clancy's Ghost Recon: Future Soldier,Tom Clancy's Ghost Recon,1,PC,2012.0,5.0,Shooter,Ubisoft,Ubisoft Paris,M,0.05,0.1,0.0,0.02,0.17,71.0,13.0,4.9,368.0
Backyard Baseball '10,Backyard Baseball '10,1,PS2,2009.0,4.0,Sports,Atari,Farsight Studios,E,0.08,0.07,0.0,0.02,0.17,,,tbd,
Resident Evil Director's Cut: Dual Shock Edition,Resident Evil Director's Cut,1,PS,1997.0,1.0,Action,Capcom,,,0.0,0.0,0.16,0.01,0.17,,,,
Broken Sword: Shadows of the Templars - The Director's Cut,Broken Sword,1,DS,2009.0,3.0,Adventure,Ubisoft,,,0.07,0.08,0.0,0.02,0.17,,,,
PlayStation Move Heroes,PlayStation Move Heroes,0,PS3,2011.0,3.0,Platform,Sony Computer Entertainment,Nihilistic,E10+,0.08,0.06,0.0,0.03,0.17,53.0,39.0,6.1,16.0
The King of Fighters '95,The King of Fighters '95,1,PS,1996.0,8.0,Fighting,Sony Computer Entertainment,,,0.0,0.0,0.16,0.01,0.17,,,,
RoadKill,RoadKill,1,PS2,2003.0,10.0,Action,Midway Games,Terminal Reality,M,0.08,0.07,0.0,0.02,0.17,71.0,27.0,7.9,11.0
Hanjuku Eiyuu Tai 3D,Hanjuku Eiyuu Tai 3D,0,PS2,2003.0,6.0,Role-Playing,Square Enix,,,0.0,0.0,0.17,0.0,0.17,,,,
.hack//G.U. Vol.3//Redemption,.hack//G.U. Vol.3//Redemption,0,PS2,2007.0,9.0,Role-Playing,Namco Bandai Games,,,0.0,0.0,0.17,0.0,0.17,,,,
Super Robot Taisen Compact 2 Dai-1-Bu,Super Robot Taisen Compact 2 Dai-1-Bu,0,WS,2000.0,3.0,Strategy,Namco Bandai Games,,,0.0,0.0,0.17,0.0,0.17,,,,
Looney Tunes: Back in Action,Looney Tunes,1,GC,2003.0,11.0,Platform,Warner Bros. Interactive Entertainment,Warthog,E,0.13,0.03,0.0,0.0,0.17,64.0,6.0,5,4.0
Marvel Super Hero Squad: The Infinity Gauntlet,Marvel Super Hero Squad,1,PS3,2010.0,11.0,Action,THQ,THQ,E10+,0.12,0.03,0.0,0.02,0.17,54.0,6.0,tbd,
The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia,1,PS3,2008.0,5.0,Action,Disney Interactive Studios,Traveller's Tales,T,0.14,0.01,0.0,0.02,0.17,56.0,16.0,5.6,8.0
Tak: The Great Juju Challenge,Tak,1,GBA,2005.0,9.0,Platform,THQ,WayForward,E,0.12,0.05,0.0,0.0,0.17,52.0,6.0,tbd,
Yu-Gi-Oh! Zexal World Duel Carnival,Yu-Gi-Oh! Zexal World Duel Carnival,0,3DS,2013.0,,Misc,Konami Digital Entertainment,,,0.0,0.08,0.08,0.01,0.17,,,,
